imdb_id,name,genre,dataset_genre,topic1,topic2,topic3,topic4,topic5
tt0076759,Star Wars: Episode IV - A New Hope,"Action, Adventure, Fantasy, Sci-Fi",action,"['star', 'war', 'movie', 'one', 'like', 'character', 'different', 'best', 'original', 'favorite']","['lucas', 'great', 'war', 'time', 'say', 'character', 'star', 'see', 'one', 'george']","['make', 'star', 'one', 'look', 'watch', 'thing', 'war', 'character', 'time', 'like']","['star', 'war', 'luke', 'one', 'see', 'first', 'time', 'trilogy', 'anakin', 'world']","['time', 'story', 'find', 'star', 'war', 'great', 'really', 'adventure', 'thing', 'year']"
tt0080684,Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy, Sci-Fi",action,"['star', 'war', 'one', 'still', 'well', 'empire', 'first', 'part', 'character', 'strike_back']","['luke', 'star', 'war', 'first', 'empire', 'strike_back', 'make', 'one', 'well', 'know']","['one', 'go', 'scene', 'time', 'make', 'good', 'end', 'well', 'everyone', 'like']","['tell', 'villain', 'rich', 'luke', 'story', 'empire', 'make', 'see', 'strike_back', 'vader']","['luke', 'star', 'first', 'one', 'war', 'yoda', 'great', 'leia', 'well', 'vader']"
tt0086190,Star Wars: Episode VI - Return of the Jedi,"Action, Adventure, Fantasy, Sci-Fi",action,"['like', 'come', 'ewoks', 'bad', 'one', 'little', 'two', 'completely', 'final', 'get']","['luke', 'star', 'like', 'jedi', 'return', 'war', 'make', 'good', 'vader', 'one']","['luke', 'star', 'jedi', 'war', 'jabba', 'leia', 'death', 'return', 'han', 'battle']","['star', 'war', 'luke', 'ewoks', 'jedi', 'well', 'first', 'really', 'scene', 'two']","['empire', 'ben', 'victory', 'make', 'create', 'hur', 'luke', 'emperor', 'evil', 'series']"
tt0097576,Indiana Jones and the Last Crusade,"Action, Adventure",action,"['go', 'one', 'time', 'jones', 'back', 'get', 'henry', 'indiana', 'franchise', 'way']","['get', 'one', 'well', 'series', 'father', 'indy', 'jones', 'harrison_ford', 'like', 'sean_connery']","['jones', 'crusade', 'indiana', 'last', 'one', 'sean_connery', 'like', 'father', 'film', 'best']","['jones', 'adventure', 'indiana', 'make', 'best', 'well', 'action', 'indy', 'one', 'last']","['time', 'good', 'still', 'adventure', 'raider_lose_ark', 'entertain', 'back', 'thought', 'great', 'every']"
tt0103064,Terminator 2: Judgment Day,"Action, Sci-Fi",action,"['terminator', 'action', 'scene', 'one', 'good', 'like', 'make', 'film', 'effect', 'old']","['scene', 'terminator', 'human', 'theme', 'moral', 'something', 'special', 'chose', 'fabric', 'whole']","['terminator', 'make', 'character', 'good', 'action', 'john', 'connor', 'effect', 'well', 'like']","['terminator', 'one', 'make', 'human', 'time', 'action', 'great', 'like', 'john', 'also']","['look', 'like', 'real', 'today', 'woman', 'amaze', 'female', 'whiner', 'anhilate', 'heroin']"
tt0110413,Léon: The Professional,"Action, Crime, Drama, Thriller",action,"['leon', 'mathilda', 'one', 'scene', 'character', 'make', 'love', 'kill', 'see', 'time']","['leon', 'character', 'mathilda', 'action', 'make', 'scene', 'one', 'really', 'love', 'natalie_portman']","['leon', 'mathilda', 'character', 'one', 'see', 'make', 'like', 'scene', 'life', 'girl']","['leon', 'best', 'action', 'one', 'professional', 'watch', 'film', 'feel', 'great', 'love']","['leon', 'mathilda', 'character', 'life', 'one', 'see', 'like', 'watch', 'girl', 'time']"
tt0133093,The Matrix,"Action, Sci-Fi",action,"['matrix', 'see', 'story', 'one', 'time', 'make', 'shadow', 'know', 'world', 'effect']","['computer', 'matrix', 'world', 'know', 'think', 'well', 'produce', 'fight', 'like', 'human']","['one', 'matrix', 'character', 'watch', 'effect', 'time', 'neo', 'best', 'like', 'job']","['matrix', 'neo', 'time', 'one', 'film', 'morpheus', 'lot', 'action', 'year', 'like']","['action', 'movie', 'great', 'effect', 'matrix', 'see', 'time', 'world', 'one', 'also']"
tt0172495,Gladiator,"Action, Adventure, Drama",action,"['gladiator', 'maximus', 'scene', 'best', 'character', 'ridley_scott', 'action', 'story', 'one', 'commodus']","['commodus', 'action', 'maximus', 'gladiator', 'scene', 'emperor', 'rome', 'roman', 'well', 'come']","['great', 'one', 'emperor', 'well', 'time', 'go', 'give', 'job', 'cast', 'know']","['gladiator', 'scene', 'one', 'maximus', 'emperor', 'really', 'go', 'part', 'commodus', 'battle']","['one', 'best', 'like', 'gladiator', 'watch', 'great', 'movie', 'make', 'see', 'fun']"
tt0266697,Kill Bill: Vol. 1,"Action, Crime, Thriller",action,"['kill', 'tarantino', 'one', 'bill', 'well', 'scene', 'people', 'bad', 'get', 'movie']","['tarantino', 'see', 'bill', 'one', 'like', 'kill', 'get', 'make', 'film', 'movie']","['laugh', 'girl', 'audience', 'little', 'woman', 'poor', 'self', 'mother', 'orange', 'nonsense']","['tarantino', 'bill', 'kill', 'make', 'character', 'like', 'scene', 'violence', 'one', 'film']","['scene', 'clank', 'swear', 'say', 'japanese', 'make', 'like', 'violence', 'part', 'think']"
tt0353969,Memories of Murder,"Action, Crime, Drama, Mystery, Thriller",action,"['murder', 'detective', 'story', 'case', 'make', 'character', 'korean', 'see', 'well', 'like']","['detective', 'murder', 'one', 'korean', 'cop', 'story', 'serial', 'killer', 'end', 'see']","['cop', 'one', 'different', 'story', 'end', 'little', 'act', 'thriller', 'see', 'character']","['one', 'murder', 'korean', 'korea', 'cop', 'case', 'police', 'detective', 'make', 'suspect']","['korean', 'see', 'killer', 'time', 'offer', 'also', 'one', 'great', 'bad', 'good']"
tt0372784,Batman Begins,"Action, Adventure",action,"['batman', 'begin', 'bruce', 'wayne', 'well', 'character', 'story', 'great', 'good', 'best']","['batman', 'see', 'like', 'best', 'one', 'ever', 'wayne', 'bruce', 'great', 'character']","['make', 'well', 'night', 'free', 'last', 'see', 'great', 'job', 'lot', 'awesome']","['batman', 'see', 'fight', 'sequence', 'really', 'apart', 'definitely', 'felt', 'say', 'director']","['batman', 'well', 'movie', 'make', 'begin', 'love', 'good', 'time', 'best', 'like']"
tt0437086,Alita: Battle Angel,"Action, Adventure, Sci-Fi, Thriller",action,"['watch', 'alita', 'one', 'really', 'see', 'go', 'best', 'time', 'make', 'thing']","['alita', 'see', 'like', 'watch', 'time', 'love', 'make', 'one', 'anime', 'really']","['alita', 'make', 'character', 'manga', 'world', 'really', 'great', 'rodriguez', 'go', 'time']","['alita', 'character', 'see', 'story', 'well', 'action', 'make', 'great', 'like', 'watch']","['story', 'love', 'many', 'watch', 'well', 'great', 'storyline', 'action', 'scene', 'see']"
tt0468569,The Dark Knight,"Action, Crime, Drama, Thriller",action,"['batman', 'ledger', 'one', 'joker', 'like', 'good', 'heath', 'great', 'act', 'action']","['say', 'think', 'batman', 'performance', 'still', 'fan', 'lack', 'actually', 'original', 'pg']","['joker', 'ledger', 'gotham', 'screen', 'audience', 'batman', 'heath', 'mind', 'well', 'time']","['batman', 'joker', 'make', 'one', 'well', 'character', 'perfect', 'ledger', 'time', 'great']","['batman', 'joker', 'dark_knight', 'get', 'see', 'make', 'ledger', 'like', 'heath', 'one']"
tt0861739,Elite Squad,"Action, Crime, Drama, Thriller",action,"['elite', 'de', 'squad', 'rio', 'one', 'police', 'janeiro', 'work', 'first', 'script']","['make', 'way', 'people', 'police', 'cop', 'see', 'neto', 'matias', 'also', 'get']","['police', 'bope', 'see', 'rio', 'elite', 'like', 'drug', 'squad', 'one', 'good']","['de', 'elite', 'know', 'character', 'drug', 'traffic', 'also', 'violence', 'like', 'tropa']","['elite', 'squad', 'rio', 'story', 'police', 'look', 'favelas', 'make', 'one', 'cop']"
tt1375666,Inception,"Action, Adventure, Sci-Fi, Thriller",action,"['character', 'end', 'one', 'dream', 'make', 'great', 'inception', 'well', 'give', 'plot']","['nolan', 'make', 'one', 'inception', 'dream', 'character', 'plot', 'come', 'well', 'action']","['dream', 'make', 'character', 'one', 'get', 'well', 'nolan', 'see', 'plot', 'end']","['see', 'nolan', 'one', 'inception', 'like', 'dream', 'dicaprio', 'audience', 'time', 'make']","['leo', 'dream', 'get', 'world', 'els', 'make', 'one', 'scene', 'conflict', 'know']"
tt1950186,Ford v Ferrari,"Action, Biography, Drama, Sport",action,"['race', 'really', 'good', 'movie', 'bale', 'go', 'theater', 'see', 'fantastic', 'car']","['scene', 'bale', 'one', 'performance', 'christian', 'time', 'race', 'car', 'really', 'way']","['ford', 'race', 'ferrari', 'car', 'shelby', 'mile', 'le_man', 'scene', 'team', 'character']","['race', 'story', 'ford', 'really', 'see', 'car', 'bale', 'well', 'one', 'like']","['ford', 'race', 'car', 'ferrari', 'stretch', 'gt', 'also', 'corporate', 'bale', 'make']"
tt4154756,Avengers: Infinity War,"Action, Adventure, Sci-Fi",action,"['character', 'one', 'end', 'stone', 'fight', 'story', 'next', 'time', 'get', 'death']","['thanos', 'make', 'battle', 'infinity', 'character', 'marvel', 'go', 'villain', 'really', 'people']","['thanos', 'war', 'infinity', 'end', 'avenger', 'one', 'character', 'make', 'story', 'like']","['marvel', 'character', 'war', 'thanos', 'make', 'infinity', 'one', 'movie', 'avenger', 'many']","['one', 'movie', 'war', 'like', 'infinity', 'make', 'character', 'hero', 'plot', 'lead']"
tt4154796,Avengers: Endgame,"Action, Adventure, Drama, Sci-Fi",action,"['time', 'travel', 'thanos', 'end', 'way', 'back', 'one', 'past', 'movie', 'avenger']","['long', 'character', 'time', 'main', 'really', 'story', 'get', 'well', 'watch', 'many']","['story', 'avenger', 'marvel', 'endgame', 'like', 'hero', 'action', 'infinity_war', 'movie', 'scene']","['make', 'endgame', 'thanos', 'iw', 'character', 'guy', 'take', 'bad', 'thor', 'scene']","['thanos', 'plot', 'one', 'watch', 'anything', 'population', 'end', 'movie', 'hour', 'put']"
tt8291224,Uri: The Surgical Strike,"Action, Drama, War",action,"['bollywood', 'direction', 'pump', 'vicky', 'surgical', 'indian', 'aditya', 'performance', 'best', 'watch']","['watch', 'great', 'best', 'indian', 'story', 'make', 'show', 'ever', 'bollywood', 'amaze']","['watch', 'must', 'well', 'army', 'best', 'strike', 'surgical', 'jai', 'available', 'first']","['watch', 'make', 'great', 'performance', 'direction', 'script', 'awesome', 'kausal', 'superb', 'act']","['screen', 'vicky', 'first', 'public', 'force', 'time', 'josh', 'yami', 'narrative', 'maker']"
tt0047478,Seven Samurai,"Action, Adventure, Drama",adventure,"['time', 'see', 'say', 'samurai', 'like', 'kurosawa', 'get', 'first', 'watch', 'show']","['make', 'kurosawa', 'samurai', 'watch', 'character', 'hour', 'film', 'many', 'like', 'work']","['samurai', 'seven', 'movie', 'character', 'village', 'great', 'well', 'story', 'one', 'long']","['samurai', 'one', 'kurosawa', 'seven', 'village', 'watch', 'make', 'action', 'time', 'character']","['see', 'great', 'go', 'get', 'watch', 'time', 'like', 'one', 'movie', 'long']"
tt0082096,Das Boot,"Adventure, Drama, Thriller, War",adventure,"['war', 'submarine', 'crew', 'one', 'see', 'like', 'film', 'boat', 'german', 'make']","['crew', 'one', 'experience', 'see', 'war', 'much', 'boat', 'life', 'action', 'german']","['see', 'war', 'german', 'one', 'sound', 'say', 'men', 'da_boot', 'time', 'movie']","['boat', 'war', 'german', 'version', 'make', 'captain', 'show', 'one', 'long', 'see']","['war', 'see', 'german', 'well', 'crew', 'one', 'like', 'boat', 'go', 'da_boot']"
tt0082971,Raiders of the Lost Ark,"Action, Adventure",adventure,"['action', 'one', 'see', 'indiana_jones', 'scene', 'like', 'movie', 'well', 'nazi', 'get']","['one', 'ford', 'love', 'still', 'lucas', 'action', 'get', 'indiana_jones', 'adventure', 'like']","['action', 'indy', 'get', 'one', 'hero', 'adventure', 'scene', 'see', 'make', 'like']","['nazi', 'indiana_jones', 'character', 'make', 'action', 'like', 'time', 'best', 'great', 'get']","['raider_lose_ark', 'one', 'time', 'well', 'top', 'thing', 'american', 'scene', 'film', 'see']"
tt0088763,Back to the Future,"Adventure, Comedy, Sci-Fi",adventure,"['back', 'one', 'future', 'really', 'time', 'family', 'marti', 'mcfly', 'make', 'well']","['back', 'future', 'time', 'marti', 'make', 'still', 'well', 'notice', 'like', 'work']","['see', 'time', 'one', 'like', 'make', 'well', 'much', 'watch', 'movie', 'performance']","['time', 'back', 'marti', 'future', 'great', 'make', 'one', 'travel', 'doc', 'love']","['marti', 'one', 'see', 'back', 'future', 'good', 'time', 'sequel', 'story', 'doc']"
tt0090605,Aliens,"Action, Adventure, Sci-Fi, Thriller",adventure,"['alien', 'character', 'one', 'make', 'cameron', 'time', 'ripley', 'first', 'go', 'action']","['alien', 'action', 'ripley', 'love', 'one', 'year', 'get', 'like', 'time', 'go']","['alien', 'action', 'sigourney_weaver', 'best', 'follow', 'james', 'one', 'ever', 'star', 'great']","['alien', 'first', 'one', 'ripley', 'go', 'well', 'cameron', 'much', 'good', 'watch']","['think', 'music', 'book', 'do', 'one', 'cameron', 'james', 'action', 'time', 'scene']"
