imdb_id,name,genre,dataset_genre,topic1,topic2,topic3,topic4,topic5
tt0076759,Star Wars: Episode IV - A New Hope,"Action, Adventure, Fantasy, Sci-Fi",action,"['make', 'great', 'star', 'war', 'movie', 'george', 'lucas', 'epic', 'decade', 'world']","['say', 'cast', 'time', 'lucas', 'episode', 'movie', 'character', 'remember', 'book', 'love']","['luke', 'love', 'great', 'star', 'character', 'death', 'scene', 'war', 'favorite', 'vader']","['war', 'star', 'luke', 'character', 'great', 'story', 'effect', 'time', 'lucas', 'anakin']","['war', 'star', 'make', 'time', 'lucas', 'george', 'thing', 'say', 'far', 'character']"
tt0080684,Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy, Sci-Fi",action,"['star', 'war', 'luke', 'empire', 'original', 'han', 'strike', 'yoda', 'lucas', 'vader']","['star', 'war', 'strike', 'empire', 'like', 'film', 'make', 'know', 'luke', 'great']","['luke', 'vader', 'darth', 'star', 'han', 'empire', 'want', 'best', 'strike', 'love']","['character', 'solo', 'viewer', 'hero', 'fifth', 'way', 'wise', 'effect', 'best', 'constant']","['work', 'character', 'scene', 'star', 'new', 'good', 'win', 'oscar', 'film', 'empire']"
tt0103064,Terminator 2: Judgment Day,"Action, Sci-Fi",action,"['make', 'terminator', 'action', 'time', 'great', 'cameron', 'hamilton', 'film', 'day', 'good']","['action', 'effect', 'terminator', 'vhs', 'make', 'time', 'year', 'sent', 'best', 'movie']","['terminator', 'action', 'john', 'great', 'make', 'time', 'sarah', 'scene', 'like', 'connor']","['day', 'terminator', 'feel', 'thing', 'action', 'character', 'long', 'watch', 'sound', 'judgement']","['terminator', 'action', 'like', 'time', 'john', 'scene', 'film', 'machine', 'man', 'dont']"
tt0110413,Léon: The Professional,"Action, Crime, Drama, Thriller",action,"['leon', 'mathilda', 'make', 'character', 'scene', 'oldman', 'besson', 'love', 'time', 'film']","['father', 'professional', 'bessons', 'excellent', 'fan', 'wonderful', 'thriller', 'la', 'wont', 'theme']","['leon', 'love', 'watch', 'mathilda', 'girl', 'character', 'like', 'natalie', 'really', 'act']","['life', 'oldman', 'besson', 'character', 'make', 'scene', 'leon', 'léon', 'great', 'action']","['love', 'leon', 'best', 'action', 'performance', 'besson', 'make', 'movie', 'actor', 'professional']"
tt0133093,The Matrix,"Action, Sci-Fi",action,"['matrix', 'mind', 'big', 'question', 'know', 'distinction', 'year', 'make', 'absolutely', 'category']","['matrix', 'time', 'watch', 'effect', 'best', 'neo', 'think', 'say', 'element', 'film']","['speed', 'philosophical', 'likely', 'sadly', 'deeply', 'real', 'relate', 'concept', 'event', 'discover']","['matrix', 'time', 'make', 'world', 'movie', 'best', 'effect', 'action', 'watch', 'great']","['matrix', 'year', 'effect', 'reality', 'reef', 'best', 'look', 'like', 'action', 'keanu']"
tt0172495,Gladiator,"Action, Adventure, Drama",action,"['gladiator', 'character', 'feature', 'crow', 'like', 'scene', 'maximus', 'scott', 'act', 'superb']","['area', 'ancient', 'fantasy', 'soundtrack', 'rollercoastering', 'propels', 'seriously', 'russel', 'filmmaking', 'easily']","['gladiator', 'scene', 'scott', 'maximus', 'crow', 'action', 'performance', 'character', 'ridley', 'epic']","['maximus', 'great', 'make', 'scene', 'gladiator', 'emperor', 'crow', 'really', 'rome', 'scott']","['roman', 'great', 'crow', 'gladiator', 'cast', 'good', 'general', 'action', 'scott', 'time']"
tt0468569,The Dark Knight,"Action, Crime, Drama, Thriller",action,"['privileged', 'honour', 'watch', 'movie', 'feel', 'closest', 'amaze', 'superhero', 'thanks', 'performs']","['batman', 'dark', 'knight', 'best', 'joker', 'make', 'begin', 'superhero', 'say', 'ledger']","['batman', 'joker', 'character', 'dark', 'come', 'action', 'knight', 'time', 'make', 'heath']","['batman', 'joker', 'dark', 'heath', 'knight', 'make', 'ledger', 'best', 'performance', 'action']","['ledger', 'bale', 'batman', 'nolan', 'heath', 'actor', 'christopher', 'dark', 'nolans', 'fight']"
tt1375666,Inception,"Action, Adventure, Sci-Fi, Thriller",action,"['dream', 'character', 'scene', 'world', 'make', 'inception', 'way', 'leo', 'mission', 'end']","['dream', 'make', 'great', 'like', 'director', 'nolan', 'special', 'effect', 'good', 'film']","['nolan', 'inception', 'action', 'dicaprio', 'like', 'make', 'viewer', 'movie', 'write', 'lead']","['nolan', 'dream', 'year', 'time', 'like', 'make', 'come', 'film', 'plot', 'director']","['inception', 'dream', 'make', 'mind', 'idea', 'plot', 'character', 'nolan', 'like', 'great']"
tt4154756,Avengers: Infinity War,"Action, Adventure, Sci-Fi",action,"['like', 'avenger', 'movie', 'hero', 'marvel', 'war', 'way', 'guardian', 'infinity', 'summer']","['character', 'infinity', 'thanos', 'war', 'marvel', 'make', 'avenger', 'scene', 'film', 'death']","['marvel', 'character', 'thanos', 'best', 'movie', 'make', 'war', 'end', 'villain', 'avenger']","['thanos', 'film', 'thor', 'character', 'order', 'like', 'say', 'time', 'dark', 'hulk']","['infinity', 'thanos', 'make', 'battle', 'character', 'marvel', 'war', 'movie', 'plot', 'point']"
tt4154796,Avengers: Endgame,"Action, Adventure, Drama, Sci-Fi",action,"['time', 'travel', 'end', 'thanos', 'know', 'timeline', 'way', 'infinity', 'cap', 'make']","['like', 'im', 'really', 'gon', 'na', 'superhero', 'marvel', 'end', 'people', 'captain']","['infinity', 'steve', 'time', 'end', 'war', 'save', 'thanos', 'let', 'say', 'movie']","['story', 'scene', 'endgame', 'avenger', 'marvel', 'make', 'action', 'character', 'like', 'bad']","['bad', 'time', 'marvel', 'travel', 'plot', 'fan', 'idea', 'write', 'make', 'action']"
tt8291224,Uri: The Surgical Strike,"Action, Drama, War",action,"['awesome', 'watch', 'high', 'convince', 'flaw', 'rank', 'good', 'really', 'actor', 'army']","['great', 'watch', 'best', 'movie', 'act', 'operation', 'good', 'time', 'unnecessary', 'available']","['watch', 'background', 'right', 'border', 'kaushal', 'especially', 'screenplay', 'performance', 'masterpiece', 'army']","['aditya', 'job', 'strike', 'surgical', 'war', 'make', 'best', 'amaze', 'kaushal', 'performance']","['direction', 'make', 'vicky', 'brilliant', 'watch', 'act', 'film', 'superstar', 'action', 'wrong']"
tt0047478,Seven Samurai,"Action, Adventure, Drama",adventure,"['samurai', 'kurosawa', 'seven', 'film', 'make', 'character', 'village', 'like', 'time', 'great']","['samurai', 'kurosawa', 'character', 'seven', 'time', 'action', 'story', 'villager', 'make', 'great']","['samurai', 'seven', 'village', 'kurosawa', 'character', 'watch', 'make', 'battle', 'masterpiece', 'farmer']","['genius', 'amazes', 'believe', 'hard', 'idea', 'appreciate', 'absorbed', 'hereinwe', 'spoiler', 'passthis']","['deep', 'important', 'whats', 'accompany', 'warm', 'meaningful', 'manage', 'love', 'incredible', 'duty']"
