imdb_id,name,genre,dataset_genre,topic1,topic2,topic3,topic4,topic5
tt0076759,Star Wars: Episode IV - A New Hope,"Action, Adventure, Fantasy, Sci-Fi",action,"['luke', 'anakin', 'trilogy', 'episode', 'cast', 'present', 'say', 'review', 'rey', 'teaching']","['amaze', 'kid', 'scifi', 'absolutely', 'watch', 'reason', 'producer', 'movie', 'aspire', 'character']","['war', 'star', 'epic', 'make', 'lucas', 'time', 'luke', 'george', 'world', 'movie']","['great', 'love', 'character', 'favorite', 'special', 'star', 'war', 'luke', 'universe', 'make']","['star', 'original', 'look', 'insult', 'war', 'fine', 'know', 'villain', 'wait', 'make']"
tt0080684,Star Wars: Episode V - The Empire Strikes Back,"Action, Adventure, Fantasy, Sci-Fi",action,"['empire', 'star', 'war', 'luke', 'strike', 'character', 'time', 'original', 'lucas', 'sequel']","['luke', 'yoda', 'vader', 'star', 'han', 'war', 'work', 'rebel', 'strike', 'empire']","['delicate', 'maiden', 'hair', 'lovely', 'babe', 'fabulous', 'rock', 'body', 'face', 'action']","['star', 'war', 'st', 'dvd', 'vintage', 'movie', 'space', 'chase', 'speed', 'edition']","['watch', 'love', 'separate', 'childhood', 'entertainment', 'popcorn', 'untinkered', 'brilliant', 'hold', 'view']"
tt0103064,Terminator 2: Judgment Day,"Action, Sci-Fi",action,"['timeless', 'lithuaniawow', 'say', 'unforgettable', 'wow', 'greeting', 'best', 'scifix', 'cassette', 'hasta']","['terminator', 'action', 'time', 'john', 'great', 'make', 'film', 'scene', 'like', 'connor']","['make', 'terminator', 'best', 'want', 'hour', 'action', 'surpasses', 'movie', 'say', 'simply']","['day', 'judgement', 'terminator', 'sarah', 'john', 'watch', 'long', 'feel', 'thing', 'look']","['conner', 'caseat', 'support', 'notin', 'sequelsas', 'surpass', 'arnie', 'ridelet', 'disappointbut', 'effortsthumbs']"
tt0110413,Léon: The Professional,"Action, Crime, Drama, Thriller",action,"['action', 'leon', 'make', 'sexual', 'watch', 'awesome', 'movie', 'mathilda', 'viewer', 'love']","['watch', 'ive', 'life', 'story', 'great', 'leon', 'oldman', 'make', 'probably', 'léon']","['leon', 'element', 'performance', 'mathilda', 'oldmans', 'family', 'film', 'cleaner', 'funny', 'lead']","['love', 'león', 'feel', 'leon', 'professional', 'make', 'mathilda', 'portman', 'way', 'nomination']","['leon', 'léon', 'character', 'bessons', 'mathilda', 'anthem', 'act', 'moment', 'say', 'violence']"
tt0133093,The Matrix,"Action, Sci-Fi",action,"['watch', 'look', 'really', 'work', 'deeply', 'sadly', 'likely', 'brother', 'matrix', 'great']","['job', 'character', 'thing', 'relate', 'matrix', 'discover', 'event', 'best', 'fishburne', 'plot']","['distinction', 'ultimately', 'collapse', 'matrix', 'category', 'construct', 'world', 'technology', 'theyre', 'class']","['matrix', 'action', 'time', 'big', 'watch', 'world', 'amaze', 'absolutely', 'like', 'know']","['explosion', 'scene', 'action', 'time', 'worth', 'press', 'machine', 'graphic', 'human', 'area']"
tt0172495,Gladiator,"Action, Adventure, Drama",action,"['people', 'gladiator', 'movie', 'act', 'watch', 'make', 'scene', 'lot', 'scott', 'character']","['gladiator', 'maximus', 'scene', 'roman', 'really', 'make', 'battle', 'scott', 'fight', 'way']","['timegreats', 'period', 'gladiator', 'effect', 'time', 'guarantee', 'right', 'visceral', 'specifically', 'believable']","['oscar', 'sophisticated', 'alive', 'played', 'campaign', 'variety', 'exists', 'command', 'frendo', 'brutal']","['great', 'film', 'scott', 'maximus', 'man', 'performance', 'scene', 'genre', 'epic', 'ridley']"
tt0468569,The Dark Knight,"Action, Crime, Drama, Thriller",action,"['batman', 'zimmer', 'joker', 'ledger', 'nolans', 'han', 'dark', 'superheroes', 'nolan', 'pretty']","['batman', 'joker', 'make', 'ledger', 'dark', 'heath', 'performance', 'knight', 'bruce', 'action']","['closest', 'great', 'superhero', 'amaze', 'thing', 'thanks', 'want', 'perfect', 'performs', 'exceptional']","['privileged', 'honour', 'movie', 'watch', 'feel', 'film', 'batman', 'knight', 'require', 'dark']","['waste', 'time', 'best', 'wrong', 'scene', 'action', 'blown', 'work', 'oscar', 'dark']"
tt1375666,Inception,"Action, Adventure, Sci-Fi, Thriller",action,"['stanley', 'sky', 'cinematographer', 'englishtom', 'paint', 'definitely', 'let', 'sleeve', 'overly', 'secret']","['dream', 'inception', 'character', 'mind', 'idea', 'watch', 'average', 'nolan', 'viewer', 'make']","['good', 'special', 'dream', 'character', 'film', 'effect', 'way', 'sequence', 'plot', 'original']","['nolan', 'great', 'work', 'film', 'character', 'inception', 'world', 'student', 'mean', 'unique']","['dream', 'nolan', 'make', 'bad', 'leo', 'like', 'inception', 'time', 'year', 'cobb']"
tt4154756,Avengers: Infinity War,"Action, Adventure, Sci-Fi",action,"['make', 'watch', 'movie', 'begin', 'right', 'villain', 'definitely', 'guy', 'hero', 'na']","['thanos', 'avenger', 'character', 'moment', 'summer', 'mean', 'end', 'pure', 'level', 'villain']","['marvel', 'endgame', 'best', 'movie', 'war', 'cinema', 'make', 'thanos', 'dont', 'character']","['character', 'war', 'infinity', 'word', 'thanos', 'marvel', 'death', 'say', 'story', 'avenger']","['pointless', 'movie', 'thor', 'know', 'like', 'hero', 'war', 'fascinate', 'guy', 'mcu']"
tt4154796,Avengers: Endgame,"Action, Adventure, Drama, Sci-Fi",action,"['bad', 'time', 'save', 'good', 'marvel', 'hype', 'end', 'write', 'fav', 'dy']","['story', 'massive', 'war', 'scene', 'infinity', 'endgame', 'popcorn', 'character', 'minute', 'star']","['scrap', 'thingtry', 'hole', 'terrible', 'alltime', 'sure', 'movie', 'fuss', 'way', 'plot']","['wow', 'literally', 'cool', 'season', 'time', 'lazy', 'prepared', 'final', 'travel', 'plot']","['rating', 'worth', 'hour', 'half', 'like', 'straight', 'huge', 'hot', 'coulda', 'bite']"
